Name,Park,Location,Supplier,Year,Coordinates,Latitude,Longitude
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,"[33.7708, -84.5560]",33.7708, -84.5560
Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,"[35.1045, -80.9394]",35.1045, -80.9394
Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,"[41.4339, -82.6165]",41.4339, -82.6165
Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,"[37.8393, -77.4430]",37.8393, -77.4430
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Diamondback,Kings Island,"Mason, Ohio",B&M,2009,"[39.3441, -84.2686]",39.3441, -84.2686
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,"[33.7708, -84.5560]",33.7708, -84.5560
Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,"[35.1045, -80.9394]",35.1045, -80.9394
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,"[35.1045, -80.9394]",35.1045, -80.9394
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,"[35.1045, -80.9394]",35.1045, -80.9394
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,"[35.1045, -80.9394]",35.1045, -80.9394
Diamondback,Kings Island,"Mason, Ohio",B&M,2009,"[39.3441, -84.2686]",39.3441, -84.2686
Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,"[40.3904, -79.8659]",40.3904, -79.8659
Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,"[41.4339, -82.6165]",41.4339, -82.6165
Banshee,Kings Island,"Mason, Ohio",B&M,2014,"[39.3441, -84.2686]",39.3441, -84.2686
Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,"[41.4339, -82.6165]",41.4339, -82.6165
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,"[37.8393, -77.4430]",37.8393, -77.4430
Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,"[42.0626, -72.6227]",42.0626, -72.6227
Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,"[41.4339, -82.6165]",41.4339, -82.6165
Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,"[33.7708, -84.5560]",33.7708, -84.5560
Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,"[29.5984, -98.6094]",29.5984, -98.6094
Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,"[28.0379, -82.4195]",28.0379, -82.4195
X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,"[34.4256, -118.5972]",34.4256, -118.5972
Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,"[34.4256, -118.5972]",34.4256, -118.5972
Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,"[33.7708, -84.5560]",33.7708, -84.5560
Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,"[38.2009, -85.7659]",38.2009, -85.7659
Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,"[37.2707, -76.7075]",37.2707, -76.7075
Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,"[42.3709, -87.9359]",42.3709, -87.9359
Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,"[38.1207, -86.9143]",38.1207, -86.9143
Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,"[28.4101, -81.4590]",28.4101, -81.4590
Wild Eagle,Dollywood,"Pigeon Forge, Tenn.",B&M,2012,"[35.7951, -83.5308]",35.7951, -83.5308
Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,"[40.5795, -75.5327]",40.5795, -75.5327
Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,"[28.0379, -82.4195]",28.0379, -82.4195
Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,"[40.9851, -111.8922]",40.9851, -111.8922
Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,"[28.0379, -82.4195]",28.0379, -82.4195
Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,"[38.2009, -85.7659]",38.2009, -85.7659
Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,"[42.3709, -87.9359]",42.3709, -87.9359
Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994,"[41.4339, -82.6165]",41.4339, -82.6165
Bizarro,Six Flags Great Adventure,"Jackson, N.J.",B&M,1999,"[40.1380, -74.4404]",40.1380, -74.4404
Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,"[28.3584, -81.5901]",28.3584, -81.5901
GateKeeper,Cedar Point,"Sandusky, Ohio",B&M,2013,"[41.4339, -82.6165]",41.4339, -82.6165
Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,"[35.1045, -80.9394]",35.1045, -80.9394
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,"[29.5984, -98.6094]",29.5984, -98.6094
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Diamondback,Kings Island,"Mason, Ohio",B&M,2009,"[39.3441, -84.2686]",39.3441, -84.2686
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,"[41.4339, -82.6165]",41.4339, -82.6165
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,"[40.3904, -79.8659]",40.3904, -79.8659
Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,"[37.8393, -77.4430]",37.8393, -77.4430
Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,"[33.7708, -84.5560]",33.7708, -84.5560
Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,"[42.0626, -72.6227]",42.0626, -72.6227
Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,"[41.4339, -82.6165]",41.4339, -82.6165
Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,"[35.1045, -80.9394]",35.1045, -80.9394
Banshee,Kings Island,"Mason, Ohio",B&M,2014,"[39.3441, -84.2686]",39.3441, -84.2686
Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,"[41.4339, -82.6165]",41.4339, -82.6165
Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,"[40.2883, -76.6582]",40.2883, -76.6582
Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,"[33.7708, -84.5560]",33.7708, -84.5560
Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,"[28.0379, -82.4195]",28.0379, -82.4195
Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,"[28.0379, -82.4195]",28.0379, -82.4195
X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,"[34.4256, -118.5972]",34.4256, -118.5972
Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,"[28.4101, -81.4590]",28.4101, -81.4590
Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,"[40.9851, -111.8922]",40.9851, -111.8922
Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,"[38.2009, -85.7659]",38.2009, -85.7659
Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,"[42.3709, -87.9359]",42.3709, -87.9359
Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,"[37.2707, -76.7075]",37.2707, -76.7075
Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,"[38.1207, -86.9143]",38.1207, -86.9143
Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,"[28.0379, -82.4195]",28.0379, -82.4195
Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,"[38.2009, -85.7659]",38.2009, -85.7659
Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,"[40.5795, -75.5327]",40.5795, -75.5327
Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,"[32.7513, -97.0822]",32.7513, -97.0822
Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,"[42.3709, -87.9359]",42.3709, -87.9359
Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007,"[37.2707, -76.7075]",37.2707, -76.7075
Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,"[28.3584, -81.5901]",28.3584, -81.5901
Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,"[35.1045, -80.9394]",35.1045, -80.9394
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,"[41.4339, -82.6165]",41.4339, -82.6165
Superman: The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,"[29.5984, -98.6094]",29.5984, -98.6094
Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,"[41.4339, -82.6165]",41.4339, -82.6165
Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,"[35.1045, -80.9394]",35.1045, -80.9394
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",Rocky Mountain,2015,"[34.4256, -118.5972]",34.4256, -118.5972
Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,"[33.7708, -84.5560]",33.7708, -84.5560
Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,"[33.7708, -84.5560]",33.7708, -84.5560
Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,"[28.0379, -82.4195]",28.0379, -82.4195
Banshee,Kings Island,"Mason, Ohio",B&M,2014,"[39.3441, -84.2686]",39.3441, -84.2686
Diamondback,Kings Island,"Mason, Ohio",B&M,2009,"[39.3441, -84.2686]",39.3441, -84.2686
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,"[37.8393, -77.4430]",37.8393, -77.4430
Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan/Arrow,2001,"[40.3904, -79.8659]",40.3904, -79.8659
Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,"[41.4339, -82.6165]",41.4339, -82.6165
Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,"[41.4339, -82.6165]",41.4339, -82.6165
Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,"[28.4101, -81.4590]",28.4101, -81.4590
Time Traveler,Silver Dollar City,"Branson, Mo.",Mack,2018,"[36.6681, -93.3387]",36.6681, -93.3387
X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,"[34.4256, -118.5972]",34.4256, -118.5972
Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,"[35.1045, -80.9394]",35.1045, -80.9394
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",Rocky Mountain,2015,"[34.4256, -118.5972]",34.4256, -118.5972
Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,"[33.7708, -84.5560]",33.7708, -84.5560
Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,"[33.7708, -84.5560]",33.7708, -84.5560
Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,"[28.0379, -82.4195]",28.0379, -82.4195
Banshee,Kings Island,"Mason, Ohio",B&M,2014,"[39.3441, -84.2686]",39.3441, -84.2686
Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,"[40.2883, -76.6582]",40.2883, -76.6582
X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2001,"[34.4256, -118.5972]",34.4256, -118.5972
Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,"[37.2707, -76.7075]",37.2707, -76.7075
Wicked Cyclone,Six Flags New England,"Agawam, Mass.",Rocky Mountain,2015,"[42.0626, -72.6227]",42.0626, -72.6227
Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,"[28.0379, -82.4195]",28.0379, -82.4195
Verbolten,Busch Gardens Williamsburg,"Williamsburg, Va.",Zierer,2012,"[37.2707, -76.7075]",37.2707, -76.7075
Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,"[28.0379, -82.4195]",28.0379, -82.4195
Twisted Timbers,Kings Dominion,"Doswell, Va.",Rocky Mountain,2018,"[37.8393, -77.4430]",37.8393, -77.4430
Full Throttle,Six Flags Magic Mountain,"Valencia, Calif.",Premier,2013,"[34.4256, -118.5972]",34.4256, -118.5972
Superman Ride of Steel,Six Flags America,"Upper Marlboro, Md.",Intamin,2000,"[38.9048, -76.7722]",38.9048, -76.7722
Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007,"[37.2707, -76.7075]",37.2707, -76.7075
Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,"[40.9851, -111.8922]",40.9851, -111.8922
Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,"[28.3584, -81.5901]",28.3584, -81.5901
Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",Rocky Mountain,2016,"[38.2009, -85.7659]",38.2009, -85.7659
Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,"[42.3709, -87.9359]",42.3709, -87.9359
Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,"[38.1207, -86.9143]",38.1207, -86.9143
Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,"[42.3709, -87.9359]",42.3709, -87.9359
